"Model","split_num","iter_num","AUC_score"
"XGB1",3,0,0.916256157635468
"XGB1",4,0,0.825268038249783
"XGB1",5,0,0.892350043465662
"XGB1",6,0,0.92625325992466
"XGB1",7,0,0.934439292958563
"XGB1",8,0,0.876557519559548
"XGB1",9,0,0.885757751376413
"XGB1",0,1,0.955498402306913
"XGB1",1,1,0.921206453121347
"XGB1",2,1,0.94786064998831
"XGB1",3,1,0.946971892205158
"XGB1",4,1,0.902999130686757
"XGB1",5,1,0.941466241669081
"XGB1",6,1,0.884091567661547
"XGB1",7,1,0.798246884960881
"XGB1",8,1,0.966386554621849
"XGB1",9,1,0.909808751086642
"XGB1",0,2,0.967422648273712
"XGB1",1,2,0.912789338321253
"XGB1",2,2,0.968669628244096
"XGB1",3,2,0.913141118516372
"XGB1",4,2,0.818313532309476
"XGB1",5,2,0.817444219066937
"XGB1",6,2,0.89271225731672
"XGB1",7,2,0.94566792234135
"XGB1",8,2,0.952984642132715
"XGB1",9,2,0.993262822370327
"XGB2",0,0,0.893928766269192
"XGB2",1,0,0.950354609929078
"XGB2",2,0,0.935858467773361
"XGB2",3,0,0.90502752825268
"XGB2",4,0,0.827586206896552
"XGB2",5,0,0.897493480150681
"XGB2",6,0,0.93241089539264
"XGB2",7,0,0.838742393509128
"XGB2",8,0,0.869965227470298
"XGB2",9,0,0.839466821211243
"XGB2",0,1,0.936014340269659
"XGB2",1,1,0.908502844673057
"XGB2",2,1,0.92650611799548
"XGB2",3,1,0.955447696319907
"XGB2",4,1,0.900680962039988
"XGB2",5,1,0.966024340770791
"XGB2",6,1,0.897058823529412
"XGB2",7,1,0.791437264560997
"XGB2",8,1,0.944074181396697
"XGB2",9,1,0.951970443349754
"XGB2",0,2,0.954563167329125
"XGB2",1,2,0.92806484295846
"XGB2",2,2,0.975917699321955
"XGB2",3,2,0.907780353520719
"XGB2",4,2,0.75470878006375
"XGB2",5,2,0.808099101709649
"XGB2",6,2,0.884164010431759
"XGB2",7,2,0.965734569689945
"XGB2",8,2,0.946537235583889
"XGB2",9,2,0.985294117647059
"XGB3",0,0,0.928454524199205
"XGB3",1,0,0.95097809991427
"XGB3",2,0,0.966487413295924
"XGB3",3,0,0.903506230078238
"XGB3",4,0,0.848159953636627
"XGB3",5,0,0.920168067226891
"XGB3",6,0,0.957693422196465
"XGB3",7,0,0.952042886119965
"XGB3",8,0,0.905751955954796
"XGB3",9,0,0.908359895682411
"XGB3",0,1,0.948873821214247
"XGB3",1,1,0.938820045203024
"XGB3",2,1,0.957212999766191
"XGB3",3,1,0.940669371196755
"XGB3",4,1,0.949652274702985
"XGB3",5,1,0.924007534048102
"XGB3",6,1,0.901043175891046
"XGB3",7,1,0.841060562155897
"XGB3",8,1,0.932917994784121
"XGB3",9,1,0.926543031005506
"XGB3",0,2,0.957135063518042
"XGB3",1,2,0.908970462161952
"XGB3",2,2,0.985659730340581
"XGB3",3,2,0.915097073312083
"XGB3",4,2,0.826934221964648
"XGB3",5,2,0.834033613445378
"XGB3",6,2,0.881773399014778
"XGB3",7,2,0.966603882932483
"XGB3",8,2,0.95747609388583
"XGB3",9,2,0.977252970153579
